time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,time/iterations
73500,-0.010311052203178406,14699,-0.5344408750534058,253.47,-6.748326778411865,0.0007,1082,67,253.47,0.0003096497675869614,14700
74000,-0.0019473445136100054,14799,-0.4069734513759613,255.45,-81.46346282958984,0.0007,1084,68,255.45,3.224178362870589e-05,14800
74500,-0.0007384623750112951,14899,-0.39075273275375366,260.13,-1694.5277099609375,0.0007,1086,68,260.13,5.97311873207218e-06,14900
75000,2.099597259075381e-05,14999,-0.21613550186157227,264.65,-2.4247119426727295,0.0007,1089,68,264.65,1.0210205800831318e-06,15000
75500,-0.000675696472171694,15099,-0.30294516682624817,269.26,-11.815288543701172,0.0007,1091,69,269.26,3.093290069955401e-05,15100
76000,-0.0012293598847463727,15199,-0.4110695719718933,273.85,-143.79786682128906,0.0007,1093,69,273.85,8.943525244831108e-06,15200
76500,-0.003331610234454274,15299,-0.40627598762512207,278.53,-615.5949096679688,0.0007,1087,70,278.53,4.644806176656857e-05,15300
77000,-0.00012240117939654738,15399,-0.17513920366764069,283.08,0.10041505098342896,0.0007,1088,70,283.08,8.36843355500605e-06,15400
77500,-0.0012290548766031861,15499,-0.35308602452278137,287.54,-15.36772346496582,0.0007,1090,71,287.54,2.5813316824496724e-05,15500
78000,-0.0005492729833349586,15599,-0.3810846209526062,292.1,-5.309078693389893,0.0007,1092,71,292.1,3.3351475394738372e-06,15600
78500,-0.0004326090565882623,15699,-0.39086127281188965,296.72,-49.23973846435547,0.0007,1093,71,296.72,2.754863771770033e-06,15700
79000,-0.0012962244218215346,15799,-0.2302490919828415,301.36,-15.446266174316406,0.0007,1095,72,301.36,2.880953161366051e-06,15800
79500,-0.0006512420950457454,15899,-0.39462926983833313,305.92,-2.943523645401001,0.0007,1089,72,305.92,4.3726759031414986e-06,15900
80000,-0.00024509389186277986,15999,-0.3653852939605713,310.45,-20.31188201904297,0.0007,1090,73,310.45,3.5634730011224747e-07,16000
80500,0.0003759629908017814,16099,-0.0785125344991684,314.96,-538.9620971679688,0.0007,1092,73,314.96,0.003934997599571943,16100
81000,-0.004144295118749142,16199,-0.32333850860595703,319.64,-10.269919395446777,0.0007,1093,74,319.64,0.0001200351252919063,16200
81500,-0.00019817231805063784,16299,-0.2448732852935791,324.12,-722.749755859375,0.0007,1095,74,324.12,1.0365654816268943e-05,16300
82000,-0.0005279493634589016,16399,-0.4112324118614197,328.68,-363.9073486328125,0.0007,1097,74,328.68,7.824308340786956e-06,16400
82500,-6.1940504565427545e-06,16499,-0.17709533870220184,333.15,-13.040875434875488,0.0007,1097,75,333.15,4.400499165058136e-07,16500
