rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
3711.36,1688,985,17216,1663524,0.01,50.95,103345,0.0001,0.04425301030278206
3785.02,1700,985,17280,1675384,0.01,53.3,104086,0.0001,0.024043355137109756
3882.06,1713,985,17344,1687596,0.01,53.46,104849,0.0001,0.012394854798913002
3875.73,1724,984,17408,1698668,0.01,58.16,105541,0.0001,0.008566947653889656
3877.3,1736,984,17472,1709888,0.01,53.76,106242,0.0001,0.004840984009206295
3812.63,1748,984,17536,1721712,0.01,51.42,106981,0.0001,0.01788625866174698
3871.63,1761,984,17600,1734344,0.01,53.02,107771,0.0001,0.008452111855149269
3837.08,1772,984,17664,1745636,0.01,55.49,108477,0.0001,0.011681193485856056
3781.71,1785,984,17728,1757452,0.01,51.02,109215,0.0001,0.016917888075113297
3701.21,1796,984,17792,1768604,0.01,47.27,109912,0.0001,0.07372363656759262
3713.83,1809,984,17856,1781196,0.01,44.44,110699,0.0001,0.020336613059043884
3766.13,1822,984,17920,1794008,0.01,45.98,111500,0.0001,0.003162187524139881
3807.21,1834,984,17984,1806596,0.01,45.82,112287,0.0001,0.007704439107328653
3764.39,1844,984,18048,1816368,0.01,44.91,112897,0.0001,0.01026152353733778
3742.73,1856,984,18112,1827996,0.01,43.18,113624,0.0001,0.012775241397321224
3733.35,1868,984,18176,1840112,0.01,44.28,114381,0.0001,0.01100234780460596
3750.14,1881,984,18240,1852088,0.01,44.92,115130,0.0001,0.01257808692753315
3705.34,1891,984,18304,1862140,0.01,43.19,115758,0.0001,0.33637696504592896
3717.54,1903,984,18368,1873584,0.01,45.53,116473,0.0001,0.08352342993021011
3649.38,1916,984,18432,1886524,0.01,44.81,117282,0.0001,0.0033508543856441975
3668.83,1929,984,18496,1898820,0.01,48.88,118051,0.0001,0.05380549281835556
3690.28,1939,984,18560,1908996,0.01,53.03,118687,0.0001,0.013690902851521969
3658.15,1950,984,18624,1919400,0.01,53.39,119337,0.0001,0.009819425642490387
3584.82,1962,983,18688,1930544,0.01,49.56,120033,0.0001,0.025767600163817406
3584.77,1973,983,18752,1941204,0.01,48.47,120700,0.0001,0.011074995622038841
3627.98,1985,983,18816,1953080,0.01,47.28,121442,0.0001,0.004603637848049402
3704.46,1998,983,18880,1966100,0.01,49.57,122256,0.0001,0.020200729370117188
3726.1,2013,983,18944,1980304,0.01,49.43,123143,0.0001,0.04204212874174118
3736.03,2025,983,19008,1992832,0.01,52.82,123926,0.0001,0.06380605697631836
