time/fps,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_loss,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations
2129,0.0007,44099,1.6883175373077393,447.56,0.5011048316955566,0.052893493324518204,-0.5411696434020996,705600,-100.16955175000001,331,44100
2130,0.0007,44199,7.520398139953613,436.5,-0.2245854139328003,0.010494112968444824,-0.5859118103981018,707200,-99.99099827000002,332,44200
2130,0.0007,44299,3.9277946949005127,430.44,0.6630688905715942,-0.3902655243873596,-0.494464248418808,708800,-100.10579716000001,332,44300
2130,0.0007,44399,12.875969886779785,419.38,0.5928447246551514,-0.037359897047281265,-0.23018185794353485,710400,-101.99392634999998,333,44400
2130,0.0007,44499,0.7297136187553406,429.43,0.752213716506958,-0.16407153010368347,-0.4510616660118103,712000,-102.49728021000001,334,44500
2131,0.0007,44599,8.328882217407227,439.05,0.3320736289024353,-0.020922837778925896,-0.19723637402057648,713600,-102.91232339999999,334,44600
2131,0.0007,44699,6.0101141929626465,435.13,0.7633025050163269,-0.0426541306078434,-0.6094589233398438,715200,-102.01252680999998,335,44700
2131,0.0007,44799,1.8450530767440796,430.78,0.49241775274276733,-0.09656188637018204,-0.4644690454006195,716800,-96.48322935,336,44800
2131,0.0007,44899,1.3809075355529785,423.39,0.6587780714035034,-0.0612591952085495,-0.5421790480613708,718400,-96.17348482999998,336,44900
2132,0.0007,44999,0.9769209623336792,406.46,0.8242167830467224,0.04660402238368988,-0.45179349184036255,720000,-93.59755717,337,45000
2132,0.0007,45099,1.9848366975784302,406.71,0.10936462879180908,-0.027843749150633812,-0.405650794506073,721600,-93.03120161999999,338,45100
2128,0.0007,45199,2.7606008052825928,408.58,-0.4426565170288086,0.1476258635520935,-0.3977683186531067,723200,-92.08826119000001,339,45200
2128,0.0007,45299,7.481067657470703,413.87,-0.35285520553588867,-0.2772206962108612,-0.5853437781333923,724800,-94.72637764999999,340,45300
2125,0.0007,45399,3.0012316703796387,418.43,0.17387539148330688,0.12811514735221863,-0.5446473360061646,726400,-95.66449562,341,45400
2125,0.0007,45499,0.9573328495025635,419.05,0.5955760478973389,-0.004002416040748358,-0.5496195554733276,728000,-94.18772118999998,342,45500
2125,0.0007,45599,6.176718235015869,420.74,-2.613224506378174,-0.12774287164211273,-0.45276200771331787,729600,-96.10206636999999,343,45600
2126,0.0007,45699,0.3833348751068115,426.76,0.968631386756897,0.08413396775722504,-0.4195011258125305,731200,-95.28023018,343,45700
2126,0.0007,45799,1.7910106182098389,425.94,0.35597681999206543,-0.060432955622673035,-0.5808567404747009,732800,-95.47555924,344,45800
2126,0.0007,45899,1.075742483139038,421.87,0.3087475895881653,-0.2985760569572449,-0.5329245328903198,734400,-98.37321382999998,345,45900
2126,0.0007,45999,2.986717700958252,430.98,-0.39523375034332275,-0.2325863093137741,-0.37517958879470825,736000,-98.21753294,346,46000
2127,0.0007,46099,1.4348739385604858,436.29,0.3536022901535034,-0.1762007623910904,-0.3624505400657654,737600,-97.52702493000001,346,46100
2127,0.0007,46199,15.350564956665039,428.26,-0.7572405338287354,0.09267614781856537,-0.41349610686302185,739200,-98.04259043999998,347,46200
2127,0.0007,46299,5.926832675933838,419.46,-0.3660925626754761,-0.07476187497377396,-0.41658955812454224,740800,-98.8919316,348,46300
2128,0.0007,46399,1.7433675527572632,427.87,0.2239341139793396,-0.001111142337322235,-0.5190092325210571,742400,-99.29041277000002,348,46400
2128,0.0007,46499,2.4356472492218018,429.32,0.4803484082221985,0.07853524386882782,-0.3872872591018677,744000,-99.64274640000002,349,46500
2128,0.0007,46599,2.5704002380371094,446.15,0.9815712571144104,-0.3085451126098633,-0.39885300397872925,745600,-99.50020229,350,46600
2128,0.0007,46699,3.796208620071411,444.43,-0.6638959646224976,-0.06541422754526138,-0.5301381349563599,747200,-100.84561696999998,351,46700
2128,0.0007,46799,2.3793015480041504,439.39,0.298897922039032,0.05081310495734215,-0.4217594861984253,748800,-101.26874504000001,351,46800
2128,0.0007,46899,4.180544853210449,446.83,0.4030013084411621,0.16460075974464417,-0.4493989944458008,750400,-101.05114706999998,352,46900
2128,0.0007,46999,3.680279493331909,461.25,-0.7757666110992432,-0.07271209359169006,-0.3774270713329315,752000,-101.58465457999999,353,47000
2128,0.0007,47099,1.5405608415603638,453.25,0.36735832691192627,0.08840369433164597,-0.37383967638015747,753600,-104.26973995999998,353,47100
2129,0.0007,47199,1.7422785758972168,461.6,-0.3472188711166382,-0.0005918964743614197,-0.4498615264892578,755200,-105.89430617,354,47200
2129,0.0007,47299,0.8194581270217896,470.45,-0.34545791149139404,0.15861070156097412,-0.5916546583175659,756800,-107.58092692,355,47300
2129,0.0007,47399,443.9013977050781,467.07,0.708578884601593,-0.047472305595874786,-0.1736738681793213,758400,-111.85111453000002,356,47400
2130,0.0007,47499,11.476057052612305,461.37,-0.5218889713287354,0.01613045483827591,-0.43888333439826965,760000,-111.02630049,356,47500
2130,0.0007,47599,5.434558868408203,468.22,-1.4545361995697021,0.09853783994913101,-0.44255051016807556,761600,-114.18009356999997,357,47600
2130,0.0007,47699,4.011075496673584,462.47,-0.08259391784667969,-0.06709272414445877,-0.30996280908584595,763200,-118.49892666,358,47700
2130,0.0007,47799,5.099822998046875,471.93,-0.7239218950271606,-0.036557864397764206,-0.4352791905403137,764800,-119.09805394000001,358,47800
